date,open,high,low,close,volume,market_cap
2020-10-09,10925.44000000,11104.64000000,10829.00000000,11050.64000000,19254933802.105747,204809205392.17957
2020-10-10,11050.64000000,11491.00000000,11050.51000000,11293.22000000,19496631246.27072,209268690952.5854
2020-10-11,11293.22000000,11445.00000000,11221.00000000,11369.02000000,16270141989.732687,210799352797.1382
2020-10-12,11369.02000000,11720.01000000,11172.00000000,11528.25000000,20957733313.86495,213726225963.20517
2020-10-13,11528.24000000,11557.00000000,11300.00000000,11420.56000000,19556025069.397404,211576163357.66504
2020-10-14,11420.57000000,11547.98000000,11280.00000000,11417.89000000,20441486195.023685,211756280001.1405
2020-10-15,11417.89000000,11617.34000000,11250.83000000,11505.12000000,20511481706.663586,212878404236.874
2020-10-16,11505.13000000,11541.15000000,11200.00000000,11319.32000000,20436703034.239178,209993205751.02322
2020-10-17,11319.24000000,11402.42000000,11255.00000000,11360.20000000,15650920221.099894,210421523306.69058
2020-10-18,11360.31000000,11505.00000000,11346.22000000,11503.14000000,15569792414.423223,212752326976.49207
2020-10-19,11503.14000000,11823.99000000,11407.96000000,11751.47000000,18121468516.27194,217391050812.65872
2020-10-20,11751.46000000,12038.38000000,11677.59000000,11909.99000000,21431994055.82887,220404884318.97812
2020-10-21,11910.00000000,13217.68000000,11886.95000000,12780.96000000,29314287990.069,236717318526.15692
2020-10-22,12780.75000000,13185.00000000,12678.08000000,12968.52000000,25070864646.764915,240257678153.83536
2020-10-23,12968.84000000,13027.69000000,12720.08000000,12923.07000000,21379873277.585674,239590543523.72256
2020-10-24,12923.06000000,13166.73000000,12870.00000000,13111.73000000,19302801174.758503,242785151288.07916
2020-10-25,13111.73000000,13350.00000000,12888.00000000,13028.83000000,18998745579.318,241326618198.73062
2020-10-26,13029.64000000,13238.81000000,12765.00000000,13052.19000000,21507619985.694366,242141178089.60794
2020-10-27,13052.15000000,13789.29000000,13019.87000000,13636.17000000,23918511528.069115,253004886697.36078
2020-10-28,13636.16000000,13859.48000000,12888.00000000,13266.40000000,26825856788.112816,245661872194.44214
2020-10-29,13266.40000000,13642.91000000,12920.77000000,13455.70000000,22860841953.831577,249545455596.3296
2020-10-30,13455.69000000,13669.98000000,13115.00000000,13560.10000000,23482756915.113663,250845436637.92026
2020-10-31,13560.10000000,14100.00000000,13411.50000000,13791.00000000,22691200479.405403,255329261020.6163
2020-11-01,13791.00000000,13895.00000000,13603.00000000,13761.50000000,19771957707.937115,254260250527.50497
2020-11-02,13761.49000000,13830.00000000,13195.05000000,13549.37000000,22630851230.49477,251266177558.48047
2020-11-03,13549.63000000,14066.11000000,13284.99000000,14023.53000000,22602862338.46403,259277183164.55063
2020-11-04,14023.53000000,14259.00000000,13525.00000000,14144.01000000,25857225138.46526,261103557610.74826
2020-11-05,14144.01000000,15750.00000000,14093.56000000,15590.02000000,36313255719.023285,288118007577.42645
2020-11-06,15590.02000000,15960.00000000,15166.00000000,15579.92000000,34523587704.57108,288563189165.38806
2020-11-07,15579.93000000,15753.52000000,14344.22000000,14818.30000000,30369855794.73288,274687727889.983
2020-11-08,14818.30000000,15650.00000000,14703.88000000,15475.10000000,24082570971.891495,287116472704.3936
2020-11-09,15475.10000000,15840.00000000,14805.54000000,15328.41000000,29501754042.78257,284292217075.7686
2020-11-10,15328.41000000,15460.00000000,15072.46000000,15297.21000000,21918753732.66584,283242342238.5137
2020-11-11,15297.21000000,15965.00000000,15272.68000000,15684.24000000,23990613793.268227,291215273242.1888
